beta,w0,wa,fs8_ratio,chi2,phantom
0.0,-1.2,-1.2,1.0298672321224736,72.98828124999999,True
0.0,-1.2,-1.138,1.0292929217111884,72.43751162574404,True
0.0,-1.2,-1.075,1.0287092689842259,72.25004650297618,True
0.0,-1.2,-1.012,1.0281159704758813,72.42588588169642,True
0.0,-1.2,-0.95,1.0275127071323402,72.96502976190474,True
0.0,-1.2,-0.888,1.0268991432226178,73.86747814360118,True
0.0,-1.2,-0.825,1.0262749250982752,75.13323102678571,True
0.0,-1.2,-0.762,1.0256396797154184,76.76228841145833,True
0.0,-1.2,-0.7,1.0249930133648955,78.75465029761904,True
0.0,-1.2,-0.638,1.0243345099004053,81.11031668526785,True
0.0,-1.2,-0.575,1.023663728994849,83.82928757440476,True
0.0,-1.2,-0.512,1.0229802041434686,86.91156296502976,True
0.0,-1.2,-0.45,1.0222834402560688,90.35714285714285,True
0.0,-1.2,-0.387,1.0215729114771224,94.16602725074405,True
0.0,-1.2,-0.325,1.0208480585398416,98.33821614583334,True
0.0,-1.2,-0.262,1.0201082853836463,102.87370954241071,True
0.0,-1.2,-0.2,1.0193529556873142,107.7725074404762,True
0.0,-1.2,-0.137,1.018581389448678,113.03460984002976,True
0.0,-1.2,-0.075,1.0177928585095846,118.66001674107144,True
0.0,-1.2,-0.012,1.016986580692643,124.6487281436012,True
0.0,-1.2,0.05,1.0161617165046242,131.00074404761907,True
0.0,-1.2,0.113,1.0153173600512218,137.716064453125,True
0.0,-1.2,0.175,1.014452533212836,144.79468936011907,True
0.0,-1.2,0.238,1.0135661779548946,152.2366187686012,True
0.0,-1.2,0.3,1.0126571443166195,160.04185267857147,True
0.0,-1.175,-1.2,1.0283171756908291,63.29706101190478,True
0.0,-1.175,-1.138,1.0277273788222339,62.513776506696445,True
0.0,-1.175,-1.075,1.0271278462761586,62.09379650297621,True
0.0,-1.175,-1.012,1.0265182573504228,62.03712100074407,True
0.0,-1.175,-0.95,1.0258982747130763,62.34375000000002,True
0.0,-1.175,-0.888,1.0252675431009524,63.01368350074408,True
0.0,-1.175,-0.825,1.0246256879817142,64.04692150297622,True
0.0,-1.175,-0.762,1.0239723141354022,65.44346400669646,True
0.0,-1.175,-0.7,1.0233070040815646,67.2033110119048,True
0.0,-1.175,-0.638,1.0226293161986508,69.32646251860123,True
0.0,-1.175,-0.575,1.021938782551163,71.81291852678575,True
0.0,-1.175,-0.512,1.0212349074719593,74.66267903645837,True
0.0,-1.175,-0.45,1.0205171641107362,77.8757440476191,True
0.0,-1.175,-0.387,1.0197849924928424,81.4521135602679,True
0.0,-1.175,-0.325,1.0190377963861468,85.39178757440482,True
0.0,-1.175,-0.262,1.0182749397062865,89.69476609002982,True
0.0,-1.175,-0.2,1.01749574278509,94.36104910714292,True
0.0,-1.175,-0.137,1.016699478399105,99.39063662574411,True
0.0,-1.175,-0.075,1.015885366937808,104.7835286458334,True
0.0,-1.175,-0.012,1.0150525702048458,110.53972516741078,True
0.0,-1.175,0.05,1.0142001863963515,116.65922619047626,True
0.0,-1.175,0.113,1.0133272422435031,123.14203171502984,True
0.0,-1.175,0.175,1.012432685254724,129.9881417410715,True
0.0,-1.175,0.238,1.0115153739571316,137.1975562686013,True
0.0,-1.175,0.3,1.0105740678737591,144.77027529761912,True
0.0,-1.15,-1.2,1.026738684180498,54.53590029761901,True
0.0,-1.15,-1.138,1.0261328702109949,53.52010091145829,True
0.0,-1.15,-1.075,1.025516907833912,52.86760602678568,True
0.0,-1.15,-1.012,1.0248904580340465,52.578415643601154,True
0.0,-1.15,-0.95,1.0242531639803165,52.65252976190473,True
0.0,-1.15,-0.888,1.0236046496433733,53.0899483816964,True
0.0,-1.15,-0.825,1.0229445182662384,53.89067150297616,True
0.0,-1.15,-0.762,1.0222723509165867,55.05469912574402,True
0.0,-1.15,-0.7,1.0215877046303918,56.58203124999998,True
0.0,-1.15,-0.638,1.0208901105834673,58.47266787574402,True
0.0,-1.15,-0.575,1.0201790716017525,60.72660900297617,True
0.0,-1.15,-0.512,1.0194540602921929,63.3438546316964,True
0.0,-1.15,-0.45,1.0187145160546047,66.32440476190474,True
0.0,-1.15,-0.387,1.0179598421155271,69.66825939360118,True
0.0,-1.15,-0.325,1.0171894025842463,73.3754185267857,True
0.0,-1.15,-0.262,1.0164025183011016,77.44588216145831,True
0.0,-1.15,-0.2,1.0155984628503174,81.87965029761904,True
0.0,-1.15,-0.137,1.0147764580388396,86.67672293526785,True
0.0,-1.15,-0.075,1.0139356686401435,91.83710007440476,True
0.0,-1.15,-0.012,1.0130751955298523,97.36078171502976,True
0.0,-1.15,0.05,1.0121940700040661,103.24776785714285,True
0.0,-1.15,0.113,1.0112912454358132,109.49805850074405,True
0.0,-1.15,0.175,1.0103655875239608,116.11165364583333,True
0.0,-1.15,0.238,1.0094158653707015,123.08855329241072,True
0.0,-1.15,0.3,1.0084407377319116,130.42875744047618,True
0.0,-1.125,-1.2,1.0251310221347227,46.704799107142854,True
0.0,-1.125,-1.138,1.0245086386117488,45.45648484002976,True
0.0,-1.125,-1.075,1.0238756734757395,44.571475074404766,True
0.0,-1.125,-1.012,1.0232317682944203,44.04976981026786,True
0.0,-1.125,-0.95,1.0225765454536675,43.89136904761906,True
0.0,-1.125,-0.888,1.0219096067244158,44.096272786458336,True
0.0,-1.125,-0.825,1.0212305317244157,44.66448102678572,True
0.0,-1.125,-0.762,1.0205388761786516,45.5959937686012,True
0.0,-1.125,-0.7,1.0198341699310942,46.89081101190477,True
0.0,-1.125,-0.638,1.0191159149382636,48.548932756696445,True
0.0,-1.125,-0.575,1.0183835828399928,50.57035900297621,True
0.0,-1.125,-0.512,1.0176366123120066,52.95508975074407,True
0.0,-1.125,-0.45,1.0168744062225141,55.70312500000003,True
0.0,-1.125,-0.387,1.0160963286375415,58.814464750744065,True
0.0,-1.125,-0.325,1.0153017008002707,62.28910900297622,True
0.0,-1.125,-0.262,1.0144897970979392,66.12705775669646,True
0.0,-1.125,-0.2,1.013659840818898,70.32831101190479,True
0.0,-1.125,-0.137,1.0128109988806877,74.89286876860123,True
0.0,-1.125,-0.075,1.0119423753071461,79.82073102678575,True
0.0,-1.125,-0.012,1.0110530054011175,85.11189778645837,True
0.0,-1.125,0.05,1.0101418482585034,90.76636904761908,True
0.0,-1.125,0.113,1.009207776501495,96.7841448102679,True
0.0,-1.125,0.175,1.0082495680347274,103.16522507440482,True
0.0,-1.125,0.238,1.007265892657743,109.90960984002982,True
0.0,-1.125,0.3,1.0062553004573493,117.0172991071429,True
0.0,-1.1,-1.2,1.023493430428886,39.80375744047615,True
0.0,-1.1,-1.138,1.0228539019982972,38.32292829241067,True
0.0,-1.1,-1.075,1.0222033372123376,37.20540364583329,True
0.0,-1.1,-1.012,1.0215413568841074,36.45118350074401,True
0.0,-1.1,-0.95,1.0208675613024258,36.06026785714281,True
0.0,-1.1,-0.888,1.0201815286114808,36.032656715029724,True
0.0,-1.1,-0.825,1.0194828131629026,36.368350074404724,True
0.0,-1.1,-0.762,1.018770943595088,37.067347935267826,True
0.0,-1.1,-0.7,1.0180454207893985,38.12965029761901,True
0.0,-1.1,-0.638,1.017305715293159,39.5552571614583,True
0.0,-1.1,-0.575,1.0165512653293929,41.34416852678568,True
0.0,-1.1,-0.512,1.015781473282346,43.496384393601154,True
0.0,-1.1,-0.45,1.0149957029206205,46.01190476190473,True
0.0,-1.1,-0.387,1.014193275897821,48.890729631696395,True
0.0,-1.1,-0.325,1.0133734674685226,52.132859002976154,True
0.0,-1.1,-0.262,1.0125355021222164,55.738292875744015,True
0.0,-1.1,-0.2,1.011678548600307,59.70703124999997,True
0.0,-1.1,-0.137,1.0108017142321417,64.03907412574402,True
0.0,-1.1,-0.075,1.0099040384824898,68.73442150297616,True
0.0,-1.1,-0.012,1.0089844846051899,73.7930733816964,True
0.0,-1.1,0.05,1.0080419327821946,79.21502976190473,True
0.0,-1.1,0.113,1.007075168986736,85.00029064360116,True
0.0,-1.1,0.175,1.0060828741067562,91.1488560267857,True
0.0,-1.1,0.238,1.0050636112593394,97.6607259114583,True
0.0,-1.1,0.3,1.004015809618578,104.53590029761902,True
0.0,-1.075,-1.2,1.0218251252603676,33.83277529761904,True
0.0,-1.075,-1.138,1.0211678526730739,32.11943126860118,True
0.0,-1.075,-1.075,1.0204990661766522,30.769391741071416,True
0.0,-1.075,-1.012,1.0198183645121537,29.782656715029752,True
0.0,-1.075,-0.95,1.019125324395188,29.15922619047618,True
0.0,-1.075,-0.888,1.01841949879071,28.899100167410708,True
0.0,-1.075,-0.825,1.0177004150696243,29.002278645833325,True
0.0,-1.075,-0.762,1.0169675729337904,29.46876162574404,True
0.0,-1.075,-0.7,1.016220442151397,30.298549107142854,True
0.0,-1.075,-0.638,1.0154584600747263,31.49164109002976,True
0.0,-1.075,-0.575,1.014681028622373,33.048037574404766,True
0.0,-1.075,-0.512,1.0138875113996355,34.967738560267854,True
0.0,-1.075,-0.45,1.0130772302597948,37.25074404761905,True
