folder,claim_id,source_file,status,falsifier_text,quantity,units,how_obtained,reference,maps_to,breaks_at,downgrade_reason,notes,batch
uninstrumented,UNI_001,uninstrumented/CLAIM_TABLE.md,UNKNOWN,An entry whose confidence cannot be stated without changing the `EXCLUDED BY` field.,,,,,,,counterexample/existence over an open search space; no checkable quantity with units named,,0
uninstrumented,UNI_002,uninstrumented/CLAIM_TABLE.md,UNKNOWN,"File a second entry under an existing mechanism from a different field. That is not a refutation of the claim so much as its expiry condition, and it is the cheapest next move on this folder.",,,,,,,expiry condition awaiting a future filing; no present reading,,0
uninstrumented,UNI_003,uninstrumented/CLAIM_TABLE.md,UNKNOWN,"A set of definitions under which each of the seven entries has exactly one applicable mechanism, and which does not achieve it by narrowing a mechanism until it names one case.",,,,,,,counterexample/existence over an open search space; no checkable quantity with units named,,0
uninstrumented,UNI_004,uninstrumented/CLAIM_TABLE.md,MEASURED,"An instrument in that corpus for which one of the seven mechanisms genuinely fires. The likeliest candidate is satellite SST at M3: if heavy model dependence counts as a mechanism, the boundary moves and `UNI_005` moves with it.",whether any of the seven register mechanisms fires on an instrument in the six-instrument null corpus,boolean fire verdict per instrument (one of seven mechanisms),run the register's mechanism sort over instrument-epistemology's six graded instruments,,,,,bounded named corpus,0
uninstrumented,UNI_005,uninstrumented/CLAIM_TABLE.md,UNKNOWN,"A case with a full blindness map that is nonetheless excluded by construction, or a case with no blindness map that is merely under-investigated. Either breaks the criterion.",,,,,,,counterexample/existence over an open search space; no checkable quantity with units named,,0
uninstrumented,UNI_006,uninstrumented/CLAIM_TABLE.md,UNKNOWN,"File a quantity a field believes it measures and does not, and see whether the register's mechanism set names why. Until that runs, `UNI_004`'s clean null result is weaker than it looks: a classifier that never fires on the null has not been shown to fire on the signal.",,,,,,,counterexample/existence over an open search space; no checkable quantity with units named,,0
uninstrumented,UNI_013,uninstrumented/CLAIM_TABLE.md,MEASURED,"An `UNASSIGNED` sentinel with `candidates` and a required `why_open`, so an unfiled entry is a state the sort can count.",presence of an UNASSIGNED sentinel carrying candidates and required why_open,boolean present/absent,inspect the register sort/schema,,,,,schema property,0
uninstrumented,UNI_014,uninstrumented/CLAIM_TABLE.md,MEASURED,"A second sub-ceiling entry, or the register refusing one.",number of sub-ceiling entries in the register,count of entries,file/observe entries; count sub-ceiling confidences,,,,,or the register refusing one,0
uninstrumented,UNI_015,uninstrumented/CLAIM_TABLE.md,MEASURED,Any stated detail failing to match the article.,agreement of stated details with the article,boolean match per detail,read the article and compare against the entry's stated details,,,,,fact-check on named source,0
uninstrumented,UNI_016,uninstrumented/CLAIM_TABLE.md,MEASURED,The two found metrics turning out to be co-varying measurements.,co-variation of the two found metrics (endurance 1000 cycles; retention >4e3 s),boolean co-varying vs independent,obtain both metric series and compare,,,,,data availability not established here,0
uninstrumented,UNI_017,uninstrumented/CLAIM_TABLE.md,UNKNOWN,A located protocol that co-varies drift at matched integrated dose.,,,,,,,open literature search; no checkable quantity named,,0
uninstrumented,UNI_018,uninstrumented/CLAIM_TABLE.md,MEASURED,One look at the supplementary methods.,presence of a multi-variable arm in the paper's supplementary methods,boolean present/absent,read the supplementary methods,,,,,access blocked by egress proxy in this environment,0
uninstrumented,UNI_019,uninstrumented/CLAIM_TABLE.md,MEASURED,"A stated device count and resolvable margin, which would close the gap.",stated device count with resolvable margin,"count of devices, with margin",read the source for the stated count and margin,,,,,existence of a stated quantity in a named source,0
uninstrumented,UNI_020,uninstrumented/CLAIM_TABLE.md,MEASURED,"A `questions=[...]` parent entry, each with its own `excluded_by` and `would_measure`.",presence of a questions=[...] parent entry with per-question excluded_by/would_measure,boolean present/absent,inspect entry() schema / register entries,,,,,schema property,0
uninstrumented,UNI_021,uninstrumented/CLAIM_TABLE.md,MEASURED,"A three-valued confidence, or `None` being illegal.",confidence field cardinality (three-valued) or None illegality in entry(),boolean/enum of accepted confidence values,inspect entry() validation behavior,,,,,named function entry(),0
uninstrumented,UNI_022,uninstrumented/CLAIM_TABLE.md,MEASURED,An open-axis field the sort can count.,presence of an open-axis field the sort can count,boolean present/absent,inspect sort schema,,,,,schema property,0
uninstrumented,UNI_023,uninstrumented/CLAIM_TABLE.md,MEASURED,The published window matching 18 months.,published window length,months (refutes if it matches 18),read the published window and compare to 18 months,,,,,explicit numeric comparison,0
uninstrumented,UNI_024,uninstrumented/CLAIM_TABLE.md,UNKNOWN,A design standard carrying a pre-event repair-completion term.,,,,,,,open literature search; no checkable quantity named,,0
uninstrumented,UNI_025,uninstrumented/CLAIM_TABLE.md,UNKNOWN,A record carrying insurer- or lender-initiated non-reoccupation.,,,,,,,open literature search; no checkable quantity named,,0
uninstrumented,UNI_026,uninstrumented/CLAIM_TABLE.md,MEASURED,"The folder arriving, as three of the six prior instances did.",presence of the fourth cross-link's target folder in the repo tree,boolean present/absent,list repo tree for the named folder,,,,,arrival condition on a named artifact,0
uninstrumented,UNI_027,uninstrumented/CLAIM_TABLE.md,MEASURED,An arrangement of classes where the identity fails.,equality F/V = sum((n_i*v_i/V)*(f_i/v_i)) over class arrangements,boolean identity holds/fails,evaluate both sides of the identity on a candidate class arrangement,,,,,algebraic identity; falsifier is a failing arrangement,0
uninstrumented,UNI_028,uninstrumented/CLAIM_TABLE.md,MEASURED,Per-question `confidence` on a cluster entry.,per-question confidence on cluster entries,boolean present/absent per sub-question,inspect entry() schema,,,,,schema property,0
uninstrumented,UNI_029,uninstrumented/CLAIM_TABLE.md,MEASURED,A reasoning step depending on one of the flagged numbers.,dependence of any reasoning step on the flagged numbers,boolean per reasoning step,inspect the case's reasoning steps against the flagged numbers,,,,,named artifact (case file),0
uninstrumented,UNI_030,uninstrumented/CLAIM_TABLE.md,MEASURED,The pass-through figures failing to match.,match of pass-through figures against the source,boolean/values match,read source figures and compare,,,,,stated figures in claim,0
uninstrumented,UNI_031,uninstrumented/CLAIM_TABLE.md,MEASURED,A matched-date 2026 spot pair in the stated range.,matched-date 2026 spot pair relative to the stated range,price pair (currency) vs stated range,obtain matched-date 2026 spot prices and compare to the stated range,,,,,explicit comparison,0
uninstrumented,UNI_032,uninstrumented/CLAIM_TABLE.md,MEASURED,A published BEA adjustable-vs-non-adjustable real-output decomposition.,existence of a published BEA adjustable-vs-non-adjustable real-output decomposition,boolean present/absent,search BEA real-output methodology publications,,,,,statement flags CPI(BLS) vs GDP(BEA) denominator switch; falsifier itself specifies the BEA frame,0
uninstrumented,UNI_033,uninstrumented/CLAIM_TABLE.md,UNKNOWN,An input-output framework carrying calories as intermediate consumption.,,,,,,,open literature search; no checkable quantity named,,0
uninstrumented,UNI_034,uninstrumented/CLAIM_TABLE.md,MEASURED,"A representation for ""this may be two entries, and which is open"".","presence of a representation for 'this may be two entries, and which is open'",boolean present/absent,inspect register schema,,,,,schema property,0
uninstrumented,UNI_035,uninstrumented/CLAIM_TABLE.md,MEASURED,A provenance field on entries or sub-questions.,presence of a provenance field on entries or sub-questions,boolean present/absent,inspect register schema,,,,,schema property,0
uninstrumented,UNI_036,uninstrumented/CLAIM_TABLE.md,MEASURED,Existing objects being renumbered on overflow.,documented renumbering of existing objects at the overflow,boolean documented/not (count of documented events),read naming-authority (COSPAR/Alpha-5) documentation,,,,,named documentation source,0
uninstrumented,UNI_037,uninstrumented/CLAIM_TABLE.md,MEASURED,Documented renumbering of existing objects at the overflow.,documented renumbering of existing objects at the overflow,boolean documented/not,read naming-authority documentation,,,,,narrower restatement of UNI_036,0
uninstrumented,UNI_038,uninstrumented/CLAIM_TABLE.md,MEASURED,A regime where a key remap inflates rather than attenuates.,direction of key-remap effect on the analysed statistic,boolean sign (inflates vs attenuates),recompute the analysis under the candidate regime,,,,,claim is reproducible; falsifier is a sign flip,0
uninstrumented,UNI_039,uninstrumented/CLAIM_TABLE.md,UNKNOWN,The two-arm design separating pitch from addressing.,,,,,,,open literature search; no checkable quantity named,,0
uninstrumented,UNI_040,uninstrumented/CLAIM_TABLE.md,UNKNOWN,An object-carried scheme with a fixed capacity that cannot grow with the object.,,,,,,,counterexample/existence over an open search space; no checkable quantity with units named,,0
uninstrumented,UNI_041,uninstrumented/CLAIM_TABLE.md,UNKNOWN,A confidence field carrying an unlock condition.,,,,,,,counterexample/existence over an open search space; no checkable quantity with units named,,0
uninstrumented,UNI_042,uninstrumented/CLAIM_TABLE.md,MEASURED,"a third term in the README, or a mechanism for it","number of terms in the README, or a mechanism for a third",count of terms,read the README,,,,,named artifact,0
uninstrumented,UNI_043,uninstrumented/CLAIM_TABLE.md,MEASURED,either folder arriving,presence of the two named-but-absent folders (incl. tool-off-metrology),boolean present/absent per folder,list repo tree,,,,,arrival condition on named artifacts,0
uninstrumented,UNI_044,uninstrumented/CLAIM_TABLE.md,MEASURED,the baseline comparison failing to match,match of the baseline comparison,boolean match/mismatch,re-run the baseline comparison against the source,,,,,web-checked claim,0
