reader_id,reader_substrate,item,format,design,quantities_recovered,dropped_axes_named,rank_given,decline_reason,response_text
b0_0,model:v0,M1,F1,between,disproportion,partial,,,constructed response
b0_1,model:v0,M1,F2,between,chain,partial,,,constructed response
b0_2,model:v0,M1,F3,between,magnitude,y,,,constructed response
b0_3,model:v0,M1,F4,between,exclusion,partial,,,constructed response
b0_4,model:v0,M1,F5,between,cross-domain shape,y,,,constructed response
b0_5,model:v0,M1,F6,between,sequence,n,,,constructed response
b1_0,human,M1,F1,between,disproportion,partial,,,constructed response
b1_1,human,M1,F2,between,chain,partial,,,constructed response
b1_2,human,M1,F3,between,magnitude,y,,,constructed response
b1_3,human,M1,F4,between,exclusion,partial,,,constructed response
b1_4,human,M1,F5,between,cross-domain shape,y,,,constructed response
b1_5,human,M1,F6,between,sequence,n,,,constructed response
b2_0,model:v2,M1,F1,between,disproportion,partial,,,constructed response
b2_1,model:v2,M1,F2,between,chain,partial,,,constructed response
b2_2,model:v2,M1,F3,between,magnitude,y,,,constructed response
b2_3,model:v2,M1,F4,between,exclusion,partial,,,constructed response
b2_4,model:v2,M1,F5,between,cross-domain shape,y,,,constructed response
b2_5,model:v2,M1,F6,between,sequence,n,,,constructed response
b3_0,human,M1,F1,between,disproportion,partial,,,constructed response
b3_1,human,M1,F2,between,chain,partial,,,constructed response
b3_2,human,M1,F3,between,magnitude,y,,,constructed response
b3_3,human,M1,F4,between,exclusion,partial,,,constructed response
b3_4,human,M1,F5,between,cross-domain shape,y,,,constructed response
b3_5,human,M1,F6,between,sequence,n,,,constructed response
b4_0,model:v1,M1,F1,between,disproportion,partial,,,constructed response
b4_1,model:v1,M1,F2,between,chain,partial,,,constructed response
b4_2,model:v1,M1,F3,between,magnitude,y,,,constructed response
b4_3,model:v1,M1,F4,between,exclusion,partial,,,constructed response
b4_4,model:v1,M1,F5,between,cross-domain shape,y,,,constructed response
b4_5,model:v1,M1,F6,between,sequence,n,,,constructed response
b5_0,human,M1,F1,between,disproportion,partial,,,constructed response
b5_1,human,M1,F2,between,chain,partial,,,constructed response
b5_2,human,M1,F3,between,magnitude,y,,,constructed response
b5_3,human,M1,F4,between,exclusion,partial,,,constructed response
b5_4,human,M1,F5,between,cross-domain shape,y,,,constructed response
b5_5,human,M1,F6,between,sequence,n,,,constructed response
b6_0,model:v0,M1,F1,between,disproportion,partial,,,constructed response
b6_1,model:v0,M1,F2,between,chain,partial,,,constructed response
b6_2,model:v0,M1,F3,between,magnitude,y,,,constructed response
b6_3,model:v0,M1,F4,between,exclusion,partial,,,constructed response
b6_4,model:v0,M1,F5,between,cross-domain shape,y,,,constructed response
b6_5,model:v0,M1,F6,between,sequence,n,,,constructed response
b7_0,human,M1,F1,between,disproportion,partial,,,constructed response
b7_1,human,M1,F2,between,chain,partial,,,constructed response
b7_2,human,M1,F3,between,magnitude,y,,,constructed response
b7_3,human,M1,F4,between,exclusion,partial,,,constructed response
b7_4,human,M1,F5,between,cross-domain shape,y,,,constructed response
b7_5,human,M1,F6,between,sequence,n,,,constructed response
