id	name	repo	path	input_shape	catches	load_bytes	load_tok_est	run_cost	run_basis	status	gate	built_against
chain-position-detectability:tools.check_repo	check_repo	chain-position-detectability	tools/check_repo.py	DOCUMENT|NUMBER	a stated count nothing recomputes	20019	5004	TRIVIAL	author-estimate	DERIVED	PASSED	43ee70e8d1ba
chain-position-detectability:work-orders.WO-1-chain-position-detectability	WO-1 — Chain position detectability from inside a container	chain-position-detectability	work-orders/WO-1-chain-position-detectability.md	AGENT-OUTPUT|DOCUMENT	chain position assumed observable from inside a container	7285	1821	EXTERNAL	author-estimate	PROPOSED	UNRUN	43ee70e8d1ba
chain-position-detectability:work-orders.WO-2-quiet-failure-missing-aggregation	WO-2 — "Quiet" failure as a missing aggregation function	chain-position-detectability	work-orders/WO-2-quiet-failure-missing-aggregation.md	CORPUS|ABSENCE	a quiet failure read as a missing signal rather than a missing aggregation function	4870	1217	CORPUS	author-estimate	PROPOSED	UNRUN	43ee70e8d1ba
chain-position-detectability:work-orders.WO-3-terminal-system-accounting-boundary	WO-3 — The terminal system as an accounting boundary	chain-position-detectability	work-orders/WO-3-terminal-system-accounting-boundary.md	NUMBER|CATEGORY-SET	a system called terminal with its crossings netted or uncounted	6841	1710	EXTERNAL	author-estimate	PROPOSED	UNRUN	43ee70e8d1ba
chain-position-detectability:work-orders.WO-4-the-shape-and-the-term-gap	WO-4 — The shape: local correctness with an unowned join	chain-position-detectability	work-orders/WO-4-the-shape-and-the-term-gap.md	CATEGORY-SET	one shape named for one instance; a term gap filled by coinage	7328	1832	TRIVIAL	author-estimate	PROPOSED	UNRUN	43ee70e8d1ba
chain-position-detectability:work-orders.WO-5-hop-distance-and-pre-entry-loss	WO-5 — Hop distance and pre-entry loss in reporting chains	chain-position-detectability	work-orders/WO-5-hop-distance-and-pre-entry-loss.md	NUMBER	the terminal of a reporting chain read as a scaled ground reading	8878	2219	EXTERNAL	author-estimate	PROPOSED	UNRUN	43ee70e8d1ba
chain-position-detectability:work-orders.WO-6-assessor-assessed-coupling	WO-6 — Assessor–assessed coupling as a recurrent known failure mode	chain-position-detectability	work-orders/WO-6-assessor-assessed-coupling.md	CLAIM|NUMBER	assessor independence read off a payment field	11489	2872	EXTERNAL	author-estimate	PROPOSED	UNRUN	43ee70e8d1ba
method-layer:branch_set	branch_set	method-layer	branch_set.py	DECISION|CATEGORY-SET	eliminated candidates dropped from the record; gap triage read from prose	19765	4941	LINEAR	author-estimate	DERIVED	UNRUN	87e138a4ff64+dirty
method-layer:cross_domain_instrument_matrix	cross_domain_instrument_matrix	method-layer	cross_domain_instrument_matrix.py	CATEGORY-SET	an interface question one tradition answers and another does not name	65902	16475	TRIVIAL	author-estimate	PROPOSED	UNRUN	87e138a4ff64+dirty
method-layer:frame_probe	frame_probe	method-layer	frame_probe.py	AGENT-OUTPUT|DOCUMENT	instrument absence read as evasion; a probe that reads the person, not the frame	46801	11700	LINEAR	author-estimate	DERIVED	UNRUN	87e138a4ff64+dirty
method-layer:observer_position_control	observer_position_control	method-layer	observer_position_control.py	CORPUS	a label tracking the describer's position rather than the behaviour	38686	9671	CORPUS	author-estimate	PROPOSED	UNRUN	87e138a4ff64+dirty
method-layer:preference_free_rank	preference_free_rank	method-layer	preference_free_rank.py	DECISION|NUMBER	an unknown converted into a score; an out-of-envelope option ranked	17703	4425	QUADRATIC	author-estimate	DERIVED	UNRUN	87e138a4ff64+dirty
method-layer:premise-traceability.register_map	register_map	method-layer	premise-traceability/register_map.py	CATEGORY-SET|NUMBER	two layers joined whose declarations forbid it; silent coarsening	28281	7070	LINEAR	author-estimate	DERIVED	UNRUN	87e138a4ff64+dirty
method-layer:rank_detector	rank_detector	method-layer	rank_detector.py	NUMBER	a resolution artifact read as dimensional activation	75442	18860	LINEAR	author-estimate	DERIVED	PASSED	87e138a4ff64+dirty
simulators:AMOC	REGIME_SHIFT — AMOC regime-shift trajectory framework	Simulators	AMOC/	UNRATED	UNRATED	78575	19643	UNRATED	UNRATED	UNRATED	UNRUN	1f79f138f446
simulators:adaptive-claim-loop	ADAPTIVE CLAIM LOOP	Simulators	adaptive-claim-loop/	AGENT-OUTPUT|CLAIM	a parameter walked until a claim passes, logged as diligence	143570	35892	LINEAR	author-estimate	DERIVED	UNRUN	1f79f138f446
simulators:additivity-inheritance	additivity-inheritance	Simulators	additivity-inheritance/	NUMBER|CLAIM	an interaction assigned to noise by the decomposition itself; a precondition citation tracing cannot reach	33250	8312	LINEAR	author-estimate	DERIVED	PASSED	1f79f138f446
simulators:agent-lifecycle-energy	agent-lifecycle-energy	Simulators	agent-lifecycle-energy/	NUMBER	absent samples read as zero joules; wall and card blended	62182	15545	LINEAR	author-estimate	PROPOSED	PASSED	1f79f138f446
simulators:alignment-under-coupling	alignment-under-coupling	Simulators	alignment-under-coupling/	NUMBER	a mass fraction standing in for a two-dimensional state	65124	16281	LINEAR	author-estimate	DERIVED	UNRUN	1f79f138f446
simulators:anchor-interval	anchor-interval	Simulators	anchor-interval/	CORPUS|NUMBER	a model drifting toward the corpus it writes into; a benchmark read as a capability	107383	26845	LINEAR	author-estimate	DERIVED	UNRUN	1f79f138f446
simulators:anchor-measurand-crossing	anchor-measurand-crossing	Simulators	anchor-measurand-crossing/	AGENT-OUTPUT|CLAIM	a defect whose quantity differs from the method's measurand, scored as a band	83112	20778	LINEAR	author-estimate	PROPOSED	PASSED	1f79f138f446
simulators:anchor-position	anchor-position	Simulators	anchor-position/	AGENT-OUTPUT|CLAIM	a defect whose quantity differs from the method's measurand, as a function of prompt anchor	112366	28091	LINEAR	author-estimate	PROPOSED	PASSED	1f79f138f446
simulators:antifungal-mechanism-sim	antifungal-mechanism-sim	Simulators	antifungal-mechanism-sim/	UNRATED	UNRATED	52508	13127	UNRATED	UNRATED	UNRATED	UNRUN	1f79f138f446
simulators:aperiodic-order-sim-stack	aperiodic-order-sim-stack	Simulators	aperiodic-order-sim-stack/	DOCUMENT|NUMBER	two estimators disagreeing on the sign of a headline with one published	76746	19186	TRIVIAL	author-estimate	OBSERVED	UNRUN	1f79f138f446
simulators:assessor-coupling	assessor-coupling	Simulators	assessor-coupling/	CLAIM|NUMBER	assessor independence read off a payment field; a pool auditing itself by relabeling outflows	68501	17125	LINEAR	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:blame-attribution	blame-attribution	Simulators	blame-attribution/	DOCUMENT	prose and code arms encoding different causal chains	62485	15621	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:branch-set	branch-set	Simulators	branch-set/	DECISION|CLAIM	a held branch collapsed at intake rather than at measurement	17561	4390	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:bridge-impoundment	bridge-impoundment	Simulators	bridge-impoundment/	NUMBER	a bridge evaluated as a single event rather than a transient impoundment	105820	26455	EXTERNAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:category-weld	category-weld	Simulators	category-weld/	CATEGORY-SET|NUMBER	independent quantities welded into one term, a component moving with the record unmoved	95815	23953	LINEAR	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:ch4-four-box	ch4-four-box	Simulators	ch4-four-box/	NUMBER	exchange times read as exchange rates	37129	9282	TRIVIAL	author-estimate	DERIVED	UNRUN	1f79f138f446
simulators:chain-position	chain-position	Simulators	chain-position/	DOCUMENT|CLAIM	chain position assumed observable from inside a compliant container	123944	30986	TRIVIAL	author-estimate	PROPOSED	PASSED	1f79f138f446
